,source,target,dist,tol
109,12,32,1.9,0.01
110,12,35,2.66,0.01
111,12,37,3.54,0.01
112,13,16,1.61,0.01
113,13,20,1.995,0.01
114,14,15,1.12,0.01
115,14,19,1.47,0.01
116,14,22,2.84,0.01
117,14,27,2.3,0.01
118,14,28,1.395,0.01
119,14,34,1.55,0.01
120,14,35,2.08,0.01
121,14,36,2.675,0.01
122,15,21,2.09,0.01
123,15,28,1.49,0.01
124,15,32,1.29,0.01
125,15,35,1.26,0.01
126,16,33,6.07,0.015
127,17,23,3.4,0.01
128,17,25,2.37,0.01
129,17,27,2.48,0.01
130,17,37,1.51,0.01
131,17,38,1.42,0.01
132,17,39,2.05,0.01
133,17,40,1.56,0.01
134,17,41,1.76,0.01
135,17,42,1.42,0.01
136,17,43,3.33,0.01
137,17,44,2.98,0.01
138,18,20,2.6,0.01
139,18,22,3.88,0.01
140,18,24,2.56,0.01
141,18,27,1.9,0.01
142,18,29,2.8,0.01
143,18,34,1.47,0.01
144,18,36,3.2,0.01
145,18,38,1.81,0.01
146,19,22,1.67,0.01
147,19,27,1.28,0.01
148,19,34,1.655,0.01
149,20,23,6.49,0.015
150,20,29,2.45,0.01
151,21,22,1.69,0.01
152,21,24,3.86,0.01
153,21,27,3.28,0.01
154,21,31,4.25,0.01
155,21,32,2.12,0.01
156,22,33,5.77,0.015
157,22,35,4.41,0.01
158,22,36,1.065,0.01
159,23,30,1.51,0.01
160,23,33,5.18,0.015
161,23,40,2.36,0.01
162,24,27,3.12,0.01
163,24,31,1.75,0.01
164,24,35,2.63,0.01
165,25,30,4.49,0.01
166,25,33,2.2,0.01
167,25,39,3.12,0.01
168,25,40,3.03,0.01
169,25,41,1.7,0.01
170,25,42,1.82,0.01
171,25,43,2.095,0.01
172,25,44,1.95,0.01
173,26,29,2.42,0.01
174,26,45,2.68,0.01
175,27,34,1.38,0.01
176,27,36,1.43,0.01
177,27,37,1.62,0.01
178,27,38,1.78,0.01
179,27,39,3.23,0.01
180,28,31,1.24,0.01
181,28,32,2.5,0.01
182,28,35,1.38,0.01
183,29,33,9.14,0.015
184,30,33,3.87,0.01
185,31,32,3.08,0.01
186,31,35,1.75,0.01
187,32,35,1.5,0.01
188,33,40,3.14,0.01
189,33,41,3.57,0.01
190,33,42,2.26,0.01
191,33,44,0.78,0.01
192,33,46,8.86,0.015
193,34,36,2.5,0.01
194,37,38,1.96,0.01
195,37,40,1.165,0.01
196,38,39,1.44,0.01
197,39,40,3.49,0.01
198,39,41,1.45,0.01
199,40,42,1.25,0.01
200,42,43,3.56,0.01
201,42,44,1.63,0.01
202,43,44,3.88,0.01
